index,title,topic_idx
195,홈런왕 루스 유니폼 67억원에 낙찰…역대 스포츠경매 최고가,5
196,궤도수정 안철수 7일 지방강연…본격 활동재개는 아직,6
197,英 냉동 트럭 비극 베트남인 39명 시신 모두 송환,4
198,美 남쪽 국경서 우익 민병대가 이민자 200명 구금,4
199,이란 혁명수비대 중동 파견 美항모 위협 아닌 타격목표,4
200,우크라 대선 라이벌 포로셴코젤렌스키 유럽 방문 선거전,4
201,與 양향자 광주 서구을 지역위원장 직무대행 임명,6
202,美동맹도 달러패권 도전…EU·인도 對이란 우회결제망 구축,4
203,판문점 선언 함께 걷는 김정숙 여사와 리설주 여사,6
204,이해찬 생활 적폐 누적…공정사회 만드는 노력에 최선종합,6
205,靑 내주 초 대북특사 파견 발표…서훈 국정원장 유력종합2보,6
206,3월의 광란 미국 대학농구 주인공이 된 99세 수녀님,4
207,본회의 출석한 염동열,6
208,朴대통령 주한미군은 특별한 친구…브룩스 같이 갑시다,6
209,박원순 선거사무소 개소식,6
210,인민일보 차이잉원 뉴욕 방문 맹비난…미국의 장기 말 자처,4
211,힐러리 지금 선거 후 대통령이 돼서도 TPP 반대 거듭 천명,4
212,朴대통령 모레 국회연설…北도발 국민단합·초당적협조 요청종합2보,6
213,김종민 도로공사 감독 더는 체력 이야기 안 한다,5
214,곤 닛산 전 회장 보석 중 일본서 도주…레바논 도착,4
215,서청원 김무성 권력자 발언으로 왜 분란 일으키나,6
216,북미회담 D3 러 외무 北美합의 다자회담서 확고히 돼야,6
217,SK 최정 복귀 임박…이르면 15일 지명타자 출전,5
218,프로축구 2부 성남 천적 이랜드 21로 꺾고 선두 탈환,5
219,속보 文대통령여야 5당대표 日정부 외교적 해결 촉구,6
220,첫 등판 흔들 린드블럼 제구가 흔들렸다…더 준비해야,5
221,韓美 연합훈련 중단 지침 마련…핵심 변수는 北비핵화 진전,6
222,배구연맹 2019 순천 KOVO컵 운영 대행업체 입찰 공고,5
223,오승환 MLB 시범경기 최종전 결장…ERA 9.72,5
224,트럼프 美민주에 인프라 투자냐 의회 조사냐 양자택일 압박,4
225,4쿼터 3점포 4방 OK저축은행 2연패 탈출…신한은행...,5
226,영상 인종차별 행동 눈 찢기 러시아 코치에 3경기 징계,5
227,日 IoT기기 바이러스 감염 심각 한달만에 100배로 급증,4
228,伊 실세 부총리 살비니 조기총선 원하지 않아…연정 내홍 수습,4
229,루비오 크루즈가 남은 유일한 보수…트럼프 저지 앞장서나,4
230,보츠와나 등 아프리카 4개국 상아 무역 허용하라,4
231,文대통령 노무현 대통령 꿈은 시민과 함께 역사 진전시키는 것,6
232,문 대통령 여기는 세종입니다,6
233,KBL 종료 17초 전 판정 논란 심판 출전정지 징계,5
234,AS모나코 17년 만에 프랑스리그 정상 눈앞,5
235,퇴임 앞둔 슬로바키아 대통령 친EU 신당 창당 계획,4
236,한국·대만 유소년 배구 교류전 타이중에서 개최,5
237,나경복 꼭 해보고 싶었던 트리플크라운…범실은 줄일게요,5
238,우상호 거부권 행사한다면 정치적 의도…靑의 정쟁유발 우려,6
239,패럴림픽 김정숙 여사 아이스하키 관람…장애인스포츠 많이 알려지길,6
240,의원도 무노동·무임금 원칙을…체포동의안 자동통과시켜야종합,6
241,북마케도니아 대선서 親EU 후보 당선…EU 가입 급물살,4
242,野가 전한 설 민심…정권교체 해달라 자만말라 쓴소리도,6
243,1위 흥국생명도 2위 도로공사도 9일 경기 주목,5
244,女축구 윤덕여 감독 끝이 아닌 시작…프랑스월드컵 선전하겠다,5
245,朴대통령 대북대화론에 쐐기 대화위해 준 돈이 핵 자금돼,6
246,트럼프 내 금융자료 의회 제출 안돼…이번엔 금융사 상대 소송,4
247,북한인권정보센터 北 인권범죄 절반 자의적 체포와 구금,6
248,트럼프 조롱 대통령 가짜 문장은 온라인 검색 중 나온 실수,4
249,배구 올림픽 대륙별 예선 남자부 중국·여자부 태국서 개최,5
250,WNBA 박지수 LA 스파크스 상대로 4분 39초 출전…...,5
251,NBA 경기 도중 난투극 론도 3경기 폴 2경기 출전 정...,5
252,성균관대 선후배 장병철·권순찬·신진식 감독 대결 기대되네,5
253,與 예비후보자 부정부패·혐오발언·젠더폭력 불이익 서약서,6
254,트럼프 日궁중만찬 참석…미일동맹은 풍부한 재산,4
255,노란색 유니폼만 만나면 폭발하는 손흥민…스웨덴도 부탁해,5
256,미국인 기대수명 22년 만에 첫 감소…사망률도 늘어,4
257,부패 추문 오스트리아 극우당 국민당에 다시 연정 러브콜,4
258,소사 7이닝 1실점 LG 롯데 제압…박용택은 무안타,5
259,유럽축구 2년 이내에 이적료 2억 유로 시대 온다,5
260,감독 경질도 소용없네…NBA 시카고 7연패 수렁,5
261,日 5월에 59개월째 경상수지 흑자…흑자폭은 15.8% 감소,4
262,양산구상 마친 文…2월중순 캠프 띄우고 3월초 출마선언종합,6
263,유럽이란 핵합의 명운 건 막판 불꽃접촉…美 용인 관건종합2보,4
264,배구 남자대표팀 감독 공모에 임도헌 코치 단독 지원,5
265,폭염 덮친 이탈리아 해충에 몸살…사르데냐 메뚜기떼 습격,4
266,조기 귀국한 女배구 이다영·안혜진 부상 회복에 주력,5
267,유엔 北 주민 2명 자의적 구금 피해자로 판정해 석방 촉구,4
268,中매체 북미 가까워지면 중국 의도에도 부합,4
269,이스라엘 무슬림 美 의원에 요르단강 서안 방문 허용종합,4
270,류현진 박찬호 이래 18년 만의 한국인 MLB 개막전 승...,5
271,축구황제 펠레 브라질 축구대표팀 평가전 해설자로 나서,5
272,양의지 하루만 쉬어갈게요…이흥련 두산 이적 후 첫 선발,5
273,탈레반 포로피랍 외국인 각각 석방 교환…평화촉진 계기되나,4
274,日 韓 상응조치에 한국이야말로 냉정하게 대응해야 주장,6
275,아시안게임 동점골 이민아 선수들 속상해해…태극 낭자...,5
276,사인하다가 어깨 다친 일본 투수 마쓰자카 장기 이탈할 듯,5
277,문 정부 4차산업혁명 밑그림 나왔다…사람중심 지능화경제종합,6
278,콜롬비아 평화협정 국민투표 문구 확정…협정ㆍ안정 지지하나,4
279,독일 11월 소비자물가 전년보다 1.1% 상승…약세 지속,4
280,손흥민 선발로 73분 활약…리그 8호골은 다음에,5
281,이란 1년간 美CIA 연계 고정간첩 17명 체포…사형 선고,4
282,트럼프 후원금 잭팟 터졌다…카지노 대부가 1억달러 제공,4
283,美·유럽 호르무즈 군파견 추진 속 러·이란 해군 합동훈련,4
284,북한 농업연구원 과수학연구소 준공식,6
285,프랑스서 성 매수자 처벌 벌금 200만원…성매매처벌법 의회 통과,4
286,추신수 클리블랜드전 3타수 무안타…시범경기 타율 0.211,5
287,그래픽 손흥민 아시안 최초 EPL 두자릿수 골,5
288,황희찬 83분 잘츠부르크 오스트리아 분데스리가 4연패 달성,5
289,법원이 폭력 남편 석방한 후 부인 살해돼…멕시코 부글부글종합,4
290,관리의 힘 SK 김광현 5이닝 무실점 컨디션 괜찮아...,5
291,터키발 이주민보트 그리스 영해서 전복…어린이 5명 등 7명 사망,4
292,미일 무역협상 내달 큰 틀 합의 목표,4
293,이집트 헌법재판소 창립 50주년 기념 세미나,4
294,MLB 애틀랜타 9회 2사 후 극적인 뒤집기…18년 만의...,5
295,KBO리그 출신 테임즈 홈런 치고 2타점…강정호는 결장,5
296,프로농구 SK 챔프전 사상 최초로 2패 후 3연승 1승...,5
297,류현진 콜로라도 제물로 QS에 생애 첫 홈런까지종합,5
298,트럼프 인수위내각 참여자들 로비 못한다…초강경 서약서 마련,4
299,NBA 미네소타 로즈 두 경기 연속 맹활약…부활 예감,5
300,제임스 떠나고 러브 다치고…NBA 클리블랜드 개막 6연패 늪,5
301,미국 남은 대미얀마 제재 풀까…이달말 갱신 시한,4
302,총선 일주일 앞두고 귀국하는 朴대통령…판세 변수될까,6
303,류현진 개인 두 번째 완봉승·NL 전구단 상대 승리,5
304,EU 北 미사일 추가 발사 비판…추가 도발 안 돼,4
305,늪에 빠진 트럼프…공화당 주류 외면에 지지율 추락 이중고종합,4
306,朴석방결의안 추진 여진…탄핵 사과 먼저 vs 공방 무의미,6
307,이란 일각서 대미 대화론 제기…前대통령 40년 적대 풀어야,4
308,日 공정위 스마트폰 단말기 2년약정 할부 시정 요구,4
309,北 인민군 판문점대표부 UFG연습 맹비난 백서 발표종합,6
310,위기에 만나는 두 라이벌…수원 vs 서울 올해 첫 슈퍼매치,5
311,터키 에르도안 미국이 F35 안 팔면 다른 옵션 택할 것,4
312,월드컵 본선 48개국 확대…기회 증가 vs 질적 저하,5
313,日매체 임창용·이대호·김태균 2010년대 日최고의 외인선수,5
314,류중일 LG 감독 이형종 공을 무서워하지 않아,5
315,아프간서 미군 1명 폭탄에 사망…올해 3번째,4
316,바른미래 국감이슈 통통통 시사토크로 정책소통,6
317,이인제 탄핵은 역사의 법정으로 미뤄놔야…TV토론,6
318,게시판 관훈클럽 경남지사 후보 초청 토론회,6
319,해결사 김선형의 결승 3점포…SK LG 상승세에 찬물,5
320,인류학자는 4년간 아마존 숲에서 무엇을 봤나,4
321,존슨 英총리 아일랜드의 브렉시트 정상회담 제안수용,4
322,사우디 등 아랍 4개국 카타르 개최 IPU총회 불참,4
323,인사말하는 민병욱 이사장,6
324,교황 공정하고 평화로운 베네수엘라 사태 해법 위해 기도,4
325,획정위원장에 박영수 선관위 기조실장 사실상 내정,6
326,프로농구 현대모비스 인삼공사 꺾고 9연승 질주,5
327,프로축구 K리그 최종 811명 선수등록…팀당 평균 37명,5
328,朴대통령측 세월호 행적 보완해 제출…특검發 의혹에 유감,6
329,악성 부채 고려하면 中 성장률 정부 발표치 절반에 불과,4
330,주간 화제의 뉴스 북핵 대응·中 사드 경제 보복 등에 관심,6
331,퇴임앞둔 ECB 드라기 부양책 긍정적 경험…여전히 필요종합,4
332,中 1월 여신 폭발적 증가…성장 우선으로 정책 선회한 듯,4
333,그래픽 2018러시아월드컵 대표팀 예상 선발 라인업,5
334,도이체방크 중·러 고위층 자녀 취업시켜주고 사업 따내,4
335,홍콩 시위 지지 中 본토인 2명 잇따라 체포돼,4
336,中·인도 등 기후변화 대응 압박에 선진국 돈 더 내야,4
337,입지 좁아지던 노수광 데뷔 첫 끝내기 홈런으로 반전,5
338,더민주 건보료 직장·지역 구분 없애고 소득기준 일원화,6
339,美유엔대사 또 여성파워…이번엔 공화당 큰손 크래프트,4
340,달라이 라마 트럼프는 도덕적 원칙 부족…국제적 책임져야,4
341,새보수당 서울시당 창당대회 참석한 오신환 지상욱,6
342,美뉴햄프셔 경선 1승1패…이제 관심은 사우스캐롤라이나·네바다,4
343,IMO·ITU 北 탄도미사일 발사 관련한 통보 없어종합,6
344,朴대통령 네덜란드총리에 댓글…월드컵처럼 협력 꽃피우자,6
345,베이브 류스 류현진 고교 시절 홈런 1개…통산 타율 ...,5
346,케냐 유명 국립공원서 폭우로 외국인 등 6명 숨져,4
347,이란 외무 美 정부 강경파가 위험한 정책 추구,4
348,펠리페·손현종 활약…KB손해보험 OK저축은행 완파 2연승,5
349,캐나다 총선 비방전 가열…트뤼도 보수당 가장 더럽게 선거,4
350,트럼프 이란 외무장관과 만나는 것 시기상조였다,4
351,프로축구 수원 서정원 후임에 이임생 유력…26일 최종 계약,5
352,김성태 MB를 법정에 세우려는 정치보복…정치한풀이 정권,6
353,정의 윤소하 원내대표 합의 추대…임기 1년 연장,6
354,강정호 1천438일 만에 3루타…2경기 연속 타점,5
355,북러 교역액 지난해 대비 22% 감소…정세불안 영향,6
356,축구 꿈나무 키우자…군산 청소년클럽팀 이달 창단,5
357,과학대통령 박정희는 신화…정치적 후원자였을 뿐,6
358,평양정상회담 백화원 영빈관 도착한 문재인 대통령 내외,6
359,머리에 사구 NC 손시헌 의식 있어…2∼3일 입원 예정...,5
360,포틀랜드 워싱턴 꺾고 NBA 서부콘퍼런스 선두 도약,4
361,日여당 모든 남성 육아휴직 사용 의무화 법제화 추진,4
362,이스라엘 중도파 지도자 간츠 총리후보 지명 경쟁서 유리,4
363,통일부 北 수해 완전복구 어려워…서둘러 마무리,6
364,러시아 최대 외국인 투자자는 왜 반反푸틴 운동가가 됐나,4
365,文의장 일 잘하는 실력국회…개헌으로 촛불혁명 완성,6
366,미군 쿠르드군과 시리아 북부 순찰…철수 뒤 처음,4
367,한화 벌써 홈경기 11번 매진…5경기 연속,5
368,두산 김재환 6경기 연속 아치로 시즌 20홈런,5
369,알제리 임시대통령 대선 실시 위한 국민대화 제안,4
370,북한 탁구대표팀 코리아오픈 참가차 입국,6
371,연장 2골 레스터 FA컵 32강 재경기서 더비카운티에...,5
372,핀란드 라이프스타일 체험 이벤트,4
373,홍콩 주둔 중국군 사령관 극단 폭력 절대 용납 안 해 경고,4
374,독일 국제안보연구소 중국 해군력 러시아 따라잡아,4
375,여자축구 조소현 잉글랜드 진출 임박…맨유는 아냐종합,5
376,추미애 공수처법 만들어지길 바란다…檢권한분산 국민 열망종합2보,6
377,美 슈퍼화요일 샌더스 돌풍 약화됐지만…추격 여지 남겨종합,4
378,36년만의 北 당대회 내일 개막…김정은 시대 공식 선언,6
379,뉴욕 센트럴파크 거닐고 국가기관 방문…차이잉원 美지지 과시,4
380,과이도 체포 가능성에도 내일 귀국 정면돌파…전국 시위 촉구,4
381,PO 앞둔 우리카드현대캐피탈 아가메즈문성민 100 출격,5
382,프로축구 전북 진통 끝에 손준호 입단 확정…4년 계약,5
383,朴대통령 국회가 법막고 어떻게 국민지지 호소하는가종합,6
384,커리 빠진 골든스테이트 듀랜트·쿡 앞세워 브루클린에 승리,5
385,北 美 김정은 제재반발…뉴욕 북미접촉 통로 완전차단1보,6
386,한국 남자배구 U21 세계선수권서 중국에 03 패배…...,5
387,종아리 부상 베일 유럽챔스리그 4강 못뛴다,5
388,박지수 WNBA 데뷔 후 최다득점…시카고전에서 7득점,5
389,모잠비크 발견 항공기 파편 실종 말레이기 잔해 가능성종합,4
390,佛 혁명기념일 니스서 광란의 트럭테러…84명 사망·202명 부상종합6보,4
391,일 한 번 내보자…여자축구 대표팀 지탱하는 베테랑의 힘,5
