번호,분류,제목,내용,내용번호
2635,복지,서울시 사회서비스원은 무엇을 하는 곳인가요?, 사회서비스 분야에서 공공부문의 역할을 강화하기 위해 서울시가 설립한 출연기관입니다   국 공립 사회복지시설을 직접 운영하고 종합재가센터를 설치해서 운영하며 민간 서비스기관에 재무 회계 노무 컨설팅을 지원합니다   자세한 사항은 서울시 사회서비스원 홈페이지를 참고하여 주십시오   서울시 사회서비스원 홈페이지               주요문의사항 더보기   대표번호      ,18300944
2634,교통,"[종료사업] S-Taxi 앱 (에스택시, 서울택시승차앱) 시범운영",업무개요  빈차를 보고 택시를 이용 하는 기본적인 기능을 오프라인에서 온라인까지 확대하는 개념을 적용한 앱 앱에서 택시를 직접 선택  운영기간  년 월 일 토  년 월 일 금  시범운영 종료  앱 다운로드  구글 플레이스토어 서울택시승차앱 다운받아 설치   서울택시 공공승차 시민승차 에스택시 등으로도 검색가능   시범운영 기간 중 안드로이드 기반의 스마트폰만 이용 가능  기타   구분 민간호출앱 서울택시승차앱      운영방식 택시운수종사자의 스마트폰 택시결제기  승차방식 목적지를 표출하여  운전기사가 승객을 고름 시민이 택시를 부르는 방식    택시운수종사자는 별도의 설치작업없이 택시결제기를 통해 이용동의만 거치면 서비스 이용 가능   서울택시승차앱은 전체 택시 대상으로 적용 가능   관련 보도자료 바로가기    ,17949033
2633,복지,장기요양 이동지원서비스(모두타 돌봄택시),업무개요  보건복지부와 서울시택시운송사업조합의 민관협력사업으로 거동이 불편한 어르신도 병원 방문을 비롯한 외출권을 보장할 수 있도록 시범사업 시행   코로나 지속과 운영자 지속 감소 사유로 년 월 일부로 시범사업 종료 예정  업무내용    이용대상  실제 서울시에 거주하는 등급 장기요양 수급자 중 시설급여를 이용하지 않은 재가급여수급자  휠체어 탑승 유무와 관계없이 이용 가능  이용시간  월 토    공휴일 이용 불가  이용요금   월 한도액  원 시범사업기간 동안 본인부담금 없음 내에서 자유롭게 이용  중형택시 요금에 서비스요금 원 추가   중형택시 요금  기본요금 원   거리당 요금 원    이용지역  서울시내에서만 이용 가능 시외운행 불가   이용절차  이용신청 공단 방문  전용카드 발급  콜센터  를 통한 배차예약  차량이용  결제 및 확인을 위한 전용카드 지참   신청방법   서울시 소재 가까운 국민건강보험공단 노인장기요양보험 운영센터 방문신청만 가능   수급자 본인 신청 원칙 신체상태 및 인지기능저하로 본인이 신청 할 수 없는 경우   가족 친족 대리 신청 가능   그 외 가족 친족이 없고 독거인 경우 이해관계인 신청 가능   신청불가 공단지사  영등포북부 서초북부 강남동부 강남북부  구비서류   장기요양 이동지원 이용신청서  개인정보 수집 이용 및 제자 제공 동의서  신분증     추가서류  가족관계를 확인할 수 없는 경우  가족관계증명서 제출   수급자 본인 가족 및 친족 외에 신청하는 경우  이해관계인의 위임장 제출         전용카드의 월한도액은 월말에 소멸되어 이월 불가   월중 또는 월말에 카드를 발급받은 경우 발급 시점부터 말일까지 한도액 만원 사용 가능  전용카드 잔액보다 이용금액이 더 많은 경우 초과되는 요금 전액 본인 부담  기타사항   시범사업 기간      문의에 따른 담당처 상이 확인 후 안내   이용방법  국민건강보험공단  또는 모두타 돌봄택시 예약센터   예약관련 문의  모두타 돌봄택시 예약센터   제도 개선 등  국민건간보험공단   부당요금 승차거부 등 여객자동차 운수사업법과 관련한 택시불편신고는 일반 택시와 동일하게 접수   ,17896364
2632,경제,취약가구 반려동물 동물등록.중성화 지원,구분  내용  업무개요   서울시 동물돌봄의료서비스는 취약계층 반려동물의 유기위험을 줄이고 취약지역 반려동물의 방치를 사전에   차단하는 선세적 동물복지사업  대상   서울에 거주하는 국민기초생활수급자 중위소득 이내 차상위계층 가구의 반려동물 개 고양이    소득증명자료 제출 필수   지원내용   중성화 수술 동물등록    중성화 수술의 사전단계로 건강검진을 실시하며 검진 결과에 따라 중성화가 진행되지 못할 수도 있음  전체 접수 진료 기간   접수기간  년 월  월 예산 소진 시 조기마감   진료시작  월부터    지원절차   신청서 소득증명자료 제출 및 설문지 작성  지정 동물병원 이동  동물 등록 및 건강검진 수술동의서 작성    중성화 수술 진행  집으로  지원방법  오프라인 카라 홈페이지            에서 신청서 출력 후 수기작성 소득증명자료 동봉하여 우편접수          주소  서울시 마포구 잔다리로 카라 층 서울시 중성화지원사업 담당자 앞   온라인 인터넷주소            에서 신청서 작성 후 소득증명자료를 이메                            혹은 카카오톡 플러스 친구 서울시중성화지원사업 으로 제출  문의처   카카오톡 플러스 친구 서울시중성화지원사업   카카오톡 플러스 친구를 통해 가장 빠르게 안내받으실 수 있습니다    동물권행동 카라     동물등록 중성화 지원사업에 대한 문의는 동물권행동 카라로 문의주시면 됩니다    ,17837688
2631,복지,아름다운청년 전태일기념관,구분 내용   주소  종로구 청계천로 관수동     층별용도   층  전시품 수장고 로비  층  공연장 석   층  전시실 시민체험장   층  노동자권익지원시설 노동 허브 서울노동권익센터 사무 및 휴게공간    관람시간   관람시간   월     월     종료 분 전 입장 완료  휴관일  매주 월요일 월일 설 추석 당일 휴무    관람료  무료   프로그램   상설전시 전태일의 꿈 그리고   기획전시 모범업체  태일피복   이외 공연 교육 등 아름다운청년 전태일기념관 홈페이지 참고                기타사항   월 일 수 사전 개관 시 개관식 예정으로 당일 관람 불가   정식개관식  월 일 화 시 예정   문의처  재 전태일재단     ,17505766
2630,교통,자동배차콜택시(웨이고 블루)/여성전용예약콜택시(웨이고 레이디),구분 내 용   업무개요   타고솔루션즈가 여대 택시를 모집하여 서울시에 택시운송가맹사업 면허 신청     서울시가 년 월 일자로 택시운송가맹사업 면허 부여   이에 따라 타고솔루션즈에서 웨이고 블루 웨이고 레이디 택시를 출시하고 개월간 시범운행기간을 갖음    빠르면 월 중 출시 예정   서비스내용 구분 내용   자동배차콜택시 웨이고 블루   승객 호출에 따라 자동으로 가장 가까운 거리의 차량이 배정됨  운전자는 승객을 태울때까지 목적지를 알 수 없으며 배차를 거부할 수 없음   여성전용예약콜택시 웨이고 레이디   손님 운전자 모두 여성 단 초등학생까지는 남자아이도 탑승 가능  영 유아용 카시트 제공 시범서비스 기간부터     웨이고 블루 웨이고 레이디 출시 후 개월간 시범운행  시범기간동안 택시 이용 운임과 별도로 부가서비스 요금을 시간대별로  원으로 차등하여 책정할 예정   기타   관련 보도자료 바로가기   출시일 택시 이용방법 요금 등 서비스 상세 문의  타고솔루션즈  으로 문의    ,19717325
2629,경제,등록된 법인의 지점이나 사업소는 별도로 등록해야 시공이 가능한가요 ?, 건설산업기본법에서는 건설업의 영업구역에 대하여 별도로 제한하고 있지 아니하므로 인에게 이상의 동일한 건설업의 등록을 허용하지 아니합니다 따라서 개의 건설업종에 대하여 등록을 하였다면 동업종에 대하여는 별도로 등록을 하지 아니 하여도 될 것입니다  ,16610518
2628,행정,광진환경백서는 몇년 주기로 발간됩니까?,광진 환경백서는 년 마다 발간됩니다 참고로 지난 년부터 출간되어 최근 년에 환경백서가 발간되었습니다   서울시 환경백서 담당자는 기후환경본부 기후변화정책관 환경정책과 환경정책팀 권선조주무관   개인 구할 수 없음 서울시청 홈페이지 분야별 정도 환경 공원 상수도 코너에 있음  ,16610517
2627,경제,건설업도 비영리법인 등록이 가능한가요?,건설산업기본법 제조 제항의 규정에 의거 국가 또는 지자체가 자본금의 할 이상을 출자한 법인 또는 영리를 목적으로 하지 아니하는 법인은 다른 법률에 특별한 규정이 있는 경우를 제외 하고는 동조 제항의 규정에 의한 건설업의 등록을 신청할 수 없음 기업과 경제 주유소 석유판매업등록 ,16610516
2626,경제,ESCO사업이란 뭔가요?,  란            에너지절약전문기업 의 약자로 에너지사용자가 에너지절약을 위하여 기존의 노후화되었거나 저효율로 운전중인 에너지사용 시설을 고효율 에너지사용 시설로 개체 또는 보완하고자 할 때   가 에너지사용자에게 에너지절약 시설의 설치에 따른 에너지절약효과를 보증하고 사업을 수행합니다  ,16610515
2625,경제,ESCO사업의 주요 사업분야에는 어떤게 있나요?,  사업 분야에는 산업체 건물의 소형 열병합 발전사업 보일러 교체      에너지절약형 시설 개체 사업 전기대체 냉방시설 등 수요관리 투자사업  공정개선 및 폐열회수 등이 있습니다   ,16610514
2624,경제,ESCO(에너지절약전문기업)사업의 장점은?,에너지사용자는 기술적 또는 경제적 부담없이 에너지절약형 시설로 개체가 가능하고   는 투자수익성을 보고 투자위험을 부담하는 벤처형 사업입니다  장점으로는  초기투자비 부담 없이 에너지절약형 시설 설치 및 에너지비용 절감  에너지절약시설 투자에 따른 기술적 위험부담 해소  전문기업으로부터 에너지절약 시설에 대한 체계적 전문적 서비스 제공  에너지절약 전문기업 투자사업시 자금지원 및 세제지원 혜택 등이 있습니다   ,16610513
2623,경제,2018년 은평 꽃 피는 장날,업무개요 은평 꽃피는 장날 출전자 모집안내 운영기간 년 총회 진행  월 월 월 월  매월 둘째 주 토요일 모집기간 매월 둘째 주 토요일 장터이후 중 후반 주간 모집 대상자 농부팀 은평과 인근에서 농사를 짓는 도시농부 소농 경기도 가능 요리팀 건강한 요리 특별한 레시피의 요리 먹거리를 만드는 개인 조직 유기농 친환경 지역 농작물 사용 권장  은평 소재 사회적경제기업 또는 주민 및 단체만 신청가능 수공예팀 환경과 생활을 고려하여 공예품을 제작하는 개인 조직  은평 소재 사회적경제기업 또는 주민 및 단체만 신청가능 신청방법 은평구사회적경제허브센터 홈페이지 공지  신청서 작성 후 이메일로 접수              참여 확정 이후 출점비 원 납부 장터 당일  장소 롯데몰 은평점 광장 호선 구파발역 번출구   대중교통 권장 문의처 은평구사회적경제허브센터  기타사항  기본 부스 지원  파라솔 테이블 의자 전기는 협의 필요   우천 시 변경 또는 취소 금요일 오전 시 홈페이지에 공지함  업무개요은평 꽃 피는 장날 현장 즐기기출전팀 농부팀 명아주지팡이 블루베리차 유기농사과 유기농사과식초 유기농포도 건고추 옥수수 복숭아 고사리 텃밭 김치 참송이버섯  노루궁뎅이버섯 등  매회차 출전자 상이할 수 있음 요리팀 두부요리 채소전 깻잎 고추 호박  즉석겉절이 장류 천연발효종빵 발효식품 공정무역 커피 식혜  오미자청  연잎밥  장이찌 대추차 장날 간식거리 주먹밥 꼬마김밥 납작만두 등  매회차 출전자 상이할 수 있음 수공예팀 나무로 만든 살림도구 미생물 수제 비누 한복천 브로치 업싸이클링 생활소품 생활의류 등   매회차 출전자 상이할 수 있음 공 연 협동조합 문화예술단 꾸마달 낮시 시분   지역아동센터를 다닌 청년들과 현 이용 아동이 함께 만든 문화예술단으로 야외 장터에 어울리는 음악을 선물이야기 아빠맘두부의 은평 골목두부 낮시 시분   사회적경제 동네기업으로 은평에서 몸에 좋은 재료로 직접 두부를 만들게 된 이야기  앞으로 나아가고자 하는 방향을 나눕니다    내 손으로 만드는 살림 워크숍 나무와 천 상시운영   나무  오후의 공방 휴대용 스마트폰거치대   천  화전마을학교 직조로 컵받침  바보공방 양말인형  바늘한땀협동조합 면생리대  기타사항  현금을 준비하세요 카드결제 불가  농부와 요리사 수공예가가 만드는 소중한 먹거리와 공예품에 대한 값을 고스란히 전해드리고자 카드사용을 하지 않음   장바구니 그릇 수저 컵을 챙겨오세요  환경을 생각하는 은평 꽃피는 장날에서는 일회용품을 사용하지 않습니다   그릇 수저 컵은 장터에서 빌려 쓸 수 있어요 단 보증금 원  ,16041433
2622,경제,[농업기술센터]도시청년 이동식 플라워마켓 창업지원(플라워트럭), 도시청년 이동식 플라워마켓 창업지원 참여자 모집 바로가기        업무개요   플라워트럭 창업지원을 통해 청년일자리 창출 및 꽃 소비문화 확산으로 화훼산업 활성화  인큐베이팅을 통한 청년창업성공모델 육성 및 지원 플랫폼 확대 및 안정적인 창업형태로의 플라워트럭 인식제고 및 운영여건 개선   업무내용      구분 내용   신청기간  년 도시청년 이동식 플라워마켓 창업지원 참여자 추가 모집 공고  년 월 일 월  월 일 금  까지   접수처   방문접수  서울특별시농업기술센터 환경농업팀            서초구 헌인릉길  내곡동 농업기술센터     제출서류가 많고 담당자 확인이 필요하므로 방문접수만 가능   신청자격   대상  공고일 기준 만 세 이상  만 세 이하 서울거주 주민등록상  팀 트럭  명              출생자   고용상태  미취업자 및 이에 준하는 자   지역요건  사업신청 및 사업기간 동안 서울시 주민등록 유지   모집내용   팀 구성  팀장 명  팀원 명    재학생의 경우 팀원으로만 신청가능   팀 구성 시 모든 권한과 책임은 팀장에게 있음     팀장 교체 불가하나 불가항력으로 인한 교체사유 발생 시 농업기술센터 승인을 통해 변경 가능     팀 내분으로 인한 분쟁발생은 지원차량 회수 사유임을 팀원 모두 동의할 것   대상 제외  기존 꽃가게 및 플라워트럭 트레일러 등 사업자  신청 제외 대상    범죄 이력이 있거나 신용결격자    정부부처 및 지방자치단체 기관 사업에 참여 제한으로 제재 중인 자    영업신고나 사업자등록이 불가능하거나 관련 법령상의 창업이 불가능한 자    국세 또는 지방세를 체납 중인 자 단 최종선정 이후 센터와의 협약 체결 전 완납하는 경우는 가능     동일 유사 아이템으로 타 중앙정부 지자체 공공기관 기업 등에서 시행 하는 유사 및 동일한 창업지원    사업을 수행중인 자 또는 선정된 자    기타 상기 사유의 사업 지원의 부적합 대상으로 판별되는 경우 자체심의를 거쳐 사업지원중지 또는     선정취소 조치를 할 수 있음   지원내용   팀별 플라워트럭 대 제공    신차 봉고 톤 일괄 구매 제작에 따른 차종 및 선택사항 불가    의무사업기간 년 분기별 성과지표 모니터링 평가를 통한 년 단위 사업 갱신     년간 운영평가결과 성과달성 시 참여자에게 차량 양도    운영평가 기준 미달 시 차량회수 운영평가 기준 선발 후 공지     운영 기자재 자부담 예 절화냉장고 내부인테리어 등   플라워트럭 차량지원비 및 운영비 지원  창업 관련 교육 지원  지원내용은 서울특별시농업기술센터의 사정으로 일부 변경될 수 있음   구비서류 공통서류  해당자    사업 신청서 창업계획서 포함   개인정보 수집 및 사용 동의서   사업 내용 확약서   주민등록등본    여성세대주 일반세대주 세대원 표기   운전면허증 종 보통 사본   취업보호 지원대상 증명서   장애인 증명서   건강보험료 납부 확인증 년간   휴 폐업증명서   화훼관련 자격증 한국산업인력공단 민간   화훼관련 학교 졸업증명서   화훼관련 경력증명서   관공    ,17829312
2621,경제,제2회 AI(인공지능)혁신포럼 ‘AI를 만난 블록체인’,업무개요  차 산업혁명을 이끄는 핵심기술인 인공지능  과 블록체인을 연계한 주제로  전문 포럼 개최업무내용  제회  혁신포럼  를 만난 블록체인  바로가기   구분내용 일시 년 월 일 금     신청방법 온라인  양재  혁신허브 홈페이지            를 통해 신청 장소 양재  혁신허브 층  플레이그라운드 대상 기업 종사자 연구원 및 일반인 등 명 내외 참기비용 무료 세션 및 발표시간  행사명  혁신포럼 아이포닷       주제  제회 혁신포럼              세션 블록체인 서울에 가다   세션 서울에 온 블록체인  를 만나다  참여전문가 국내 전문가 인 각 세션별 연사 인 좌장포함   행사일정  시간세션주요내용비고      참가등록 및 안내혁신허브      행사소게혁신허브 소장      세션 블록체인이 만드는 신뢰 인공지능의 초석이 되다피노텍 블록체인연구소 고덕윤 소장                           글로스퍼 김태원 대표      에스토니아의 블록체인코인토스 김정환 이사       토론 연사 인        점심 및 참가등록       행사소개혁신허브 소장      세션 인공지능과 블록체인   이민화 교수       중앙대 소프트웨어학 김중헌 교수       트러스트 버스 정기욱 대표       토론 연사 인      마무리     혁신허브 소장    비고  문의  서울시 경제정책과   카이스트 이노베이션센터    ,15689946
2620,경제,아파트 태양광 설치 및 에너지절약 활성화 포럼,업무개요 가지 아파트 절전 포인트로 에너지 절약과 환경도 살리는 똑똑한 아파트 관리비 절감 비법 노하우를 공개하는 포럼 개최업무내용  아파트 태양광 설치 및 에너지절약 활성화 포럼 운영 개요 바로가기 구분내용 일시 년 월  월     장소 서울시청 서소문별관 후생동 층 강당 신청방법  온라인  서울시청 홈페이지  분야별서비스 환경  새소식  태양광 검색  내용 하단 링크 클릭   바로가기                     대상 명 아파트 입주자대표 입주민 관리사무소장 공동주택관계자 시 자치구 담당자 등  진행순서                                                       사회  김종민 에너지지원팀장  시간강연내용연사     참가자 등록     개회사김연지 과장서울시에너지시민협력과하원선 회장대한주택관리사협회 서울시회    전세대 미니태양광 설치 경험과 효과  홍릉동부 아파트 사례 민한식 소장홍릉동부아파트 관리사무소    전세대 태양광 설치 과정의 이해  소형 및 대형아파트 사례를 중심으로  양세훈 원장한국정책분석평가원    아파트 전기료  절감 유형별 사례와 효과 개 절전 포인트를 점검하라 심재철 이사에너지나눔연구소 협동조합      연사 및 참석자서울 에너지공사    비고  문의  서울시 에너지시민협력과   ,15680790
